day,predicted_net_flow
32,47855281.34666667
33,26740579.700000003
34,12496051.943333333
35,42450686.096666664
36,74578492.69
37,41943618.18000001
38,-59554481.09249999
39,47855281.34666667
40,26740579.700000003
41,12496051.943333333
42,42450686.096666664
43,74578492.69
44,41943618.18000001
45,-59554481.09249999
46,47855281.34666667
47,26740579.700000003
48,12496051.943333333
49,42450686.096666664
50,74578492.69
51,41943618.18000001
52,-59554481.09249999
53,47855281.34666667
54,26740579.700000003
55,12496051.943333333
56,42450686.096666664
57,74578492.69
58,41943618.18000001
59,-59554481.09249999
60,47855281.34666667
61,26740579.700000003
